family,dataset,query_id,model,train_n,method,base_bias_direction,counter_definition,train_counterexample_n,train_counterexample_pct,train_label0_n,train_label1_n,train_label_yes_pct,train_base_error_pct,test_n,test_label_yes_pct,eval_pred_yes_pct,acc_pct,positive_f1_pct,source
fever06b_formula500,fever,support,Qwen3-0.6B,500,defer_kcenter,pred_no,label=1 count; exact base-pred cross unavailable in archived summary,333,66.6,167,333,66.6,,10000,50.0,79.97,60.29,69.44679541432637,experiments/runs/fever_formula_ratio_lora_500_t15/formula_ratio_lora_500_summary.csv
fever06b_formula500,fever,support,Qwen3-0.6B,500,random_defer,pred_no,label=1 count; exact base-pred cross unavailable in archived summary,260,52.0,240,260,52.0,,10000,50.0,71.83,71.33,76.46720840515472,experiments/runs/fever_formula_ratio_lora_500_t15/formula_ratio_lora_500_summary.csv
