name,run,status,lambda,selected,anchors,train_rows,band_counts,defer,total,defer_rate,accept,raw_acc,raw_f1,accept_f1,cascade_f1,wrong_accept_risk,accept_error_rate,teacher_train,teacher_defer
DBDS,exp2_dbds_m500_seed1,completed,0.55,497,50,547,"{""B"": 497, ""F"": 0, ""M"": 0}",494,762,0.6482939632545932,268,0.7874015748031497,0.446538737446198,0.48560460652591175,0.9697012270605418,0.01968503937007874,0.055970149253731345,547,92
Random,exp2_random_m500_seed1,completed,0.54,500,0,500,,543,762,0.7125984251968503,219,0.8333333333333334,0.6990511968105784,0.5808612440191387,0.9676037625551364,0.02099737532808399,0.0730593607305936,500,188
Uncertainty,exp2_uncertainty_m500_seed1,completed,0.53,500,0,500,,632,762,0.8293963254593176,130,0.8333333333333334,0.6478832754197974,0.8717948717948718,0.9881333056478405,0.007874015748031496,0.046153846153846156,500,202
k-Center,exp2_kcenter_m500_seed1,completed,0.54,500,0,500,,526,762,0.6902887139107612,236,0.8162729658792651,0.6514500045741468,0.7486201220102644,0.9779904683130489,0.014435695538057743,0.046610169491525424,500,171
Defer-Random,exp2_defer_random_m500_seed1,completed,0.53,497,0,497,,619,762,0.8123359580052494,143,0.7965879265091863,0.48950350747526616,0.5745454545454546,0.9820761645396596,0.011811023622047244,0.06293706293706294,497,194
