dataset,query_id,model,method,train_n,train_label_yes_pct,train_base_pred_yes_pct,train_base_error_pct,run,test_n,test_label_yes_pct,eval_pred_yes_pct,acc_pct,macro_f1_pct,f1_no_pct,f1_yes_pct,tp,tn,fp,fn,source,note
Codebase,q1,Qwen3-0.6B,base,0,,,,base-round0 aligned,8798,3.762218686065015,96.30597863150716,7.319845419413503,7.319802315020181,7.2565969062784355,7.383007723761927,325,319,8148,6,experiments/inputs/codebase/query_id_1/round_0/full_all_student_predictions.jsonl,base aligned to q1 held-out test
Codebase,q1,Qwen3-0.6B,base-correct-balanced,500,50.0,50.0,0.0,base-correct-balanced,8798,3.762218686065015,22.868833825869515,80.57513071152535,57.927486204444875,88.79564675801481,27.05932565087495,317,6772,1695,14,experiments/inputs/codebase/query_id_1/qwen06b_round0_correct_balanced500_seed1/seed1/eval_full_test_correct_balanced_lora/round_1/all_student_predictions.jsonl,trained on 250 base-correct label0 + 250 base-correct label1
Codebase,q2,Qwen3-0.6B,base,0,,,,base-round0 aligned,8298,63.43697276452157,99.43359845745962,63.8587611472644,40.23565723252428,2.661473547549497,77.80984091749907,5258,41,2993,6,experiments/inputs/codebase/query_id_2/round_0/full_all_student_predictions.jsonl,base aligned to q2 held-out test
Codebase,q2,Qwen3-0.6B,base-correct-random,500,99.2,99.2,0.0,base-correct-random,8298,63.43697276452157,98.71053265847192,64.70233791275005,42.4902918462156,6.749442852594716,78.23114083983648,5263,106,2928,1,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/eval_full_test_correct_lora/round_1/all_student_predictions.jsonl,trained only on examples base already got right
Codebase,q2,Qwen3-0.6B,base-wrong-random,500,0.0,100.0,100.0,base-wrong-random,8298,63.43697276452157,0.0,36.56302723547843,26.773738086833742,53.547476173667484,0.0,0,3034,0,5264,experiments/inputs/codebase/query_id_2/qwen06b_round0_correct_wrong_train500_seed1/seed1/eval_full_test_wrong_lora/round_1/all_student_predictions.jsonl,trained only on examples base got wrong
