seed,round,status,acc_raw,macro_F1,lambda_hat,defer_count,total,defer_pct,acc_final,risk_accept_wrong,err_accept,crc_grid_feasible,crc_risk_bound,summary_path
1,0,complete,0.7847769028871391,0.451432785503582,0.77,503,762,66.01049868766404,0.9448818897637795,0.05511811023622047,0.16216216216216217,True,0.06467661691542288,experiments/runs/lrobench_formal/exp1_seed1/round_0/round_summary.json
1,1,complete,0.8044619422572179,0.5284085481090736,0.71,346,762,45.40682414698163,0.9304461942257218,0.06955380577427822,0.12740384615384615,True,0.06467661691542288,experiments/runs/lrobench_formal/exp1_seed1/round_1/round_summary.json
1,2,complete,0.8202099737532809,0.6623771438181388,0.8,352,762,46.194225721784775,0.9422572178477691,0.05774278215223097,0.1073170731707317,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed1/round_2/round_summary.json
1,3,complete,0.8608923884514436,0.7286069484577649,0.82,346,762,45.40682414698163,0.94750656167979,0.05249343832020997,0.09615384615384616,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed1/round_3/round_summary.json
2,0,complete,0.7808398950131233,0.449981198376577,0.77,481,762,63.123359580052494,0.9461942257217848,0.05380577427821522,0.14590747330960854,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed2/round_0/round_summary.json
2,1,complete,0.7834645669291339,0.6208875206170491,0.87,420,762,55.118110236220474,0.9383202099737533,0.06167979002624672,0.13742690058479531,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed2/round_1/round_summary.json
2,2,complete,0.8320209973753281,0.654774040095141,0.82,284,762,37.270341207349084,0.931758530183727,0.06824146981627296,0.1087866108786611,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed2/round_2/round_summary.json
2,3,complete,0.8097112860892388,0.616304872500981,0.82,329,762,43.175853018372706,0.9356955380577427,0.06430446194225722,0.11316397228637413,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed2/round_3/round_summary.json
3,0,complete,0.7900262467191601,0.459162127153681,0.78,541,762,70.99737532808399,0.958005249343832,0.04199475065616798,0.14479638009049775,True,0.05472636815920398,experiments/runs/lrobench_formal/exp1_seed3/round_0/round_summary.json
3,1,complete,0.7926509186351706,0.45434274215478326,0.9,424,762,55.643044619422575,0.9540682414698163,0.045931758530183726,0.10355029585798817,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed3/round_1/round_summary.json
3,2,complete,0.8175853018372703,0.5983009386555418,0.89,412,762,54.06824146981627,0.9685039370078741,0.031496062992125984,0.06857142857142857,True,0.06965174129353234,experiments/runs/lrobench_formal/exp1_seed3/round_2/round_summary.json
3,3,complete,0.8057742782152231,0.7031741853976944,0.53,436,762,57.21784776902887,0.9763779527559056,0.023622047244094488,0.05521472392638037,True,0.05472636815920398,experiments/runs/lrobench_formal/exp1_seed3/round_3/round_summary.json
