Run,acc_raw,macro_F1,lambda_hat,defer_pct,acc_final,risk_accept_wrong,err_accept,teacher_calls
Zero-shot + CRC,0.7842502696871629,0.45388349514563103,0.77,62.24379719525351,0.9298813376483279,0.07011866235167206,0.18571428571428572,0
DBDS-60 SFT + CRC,0.7820927723840345,0.43886198547215494,1.0,100.0,1.0,0.0,0.0,60
