scope,round,lambda,total,defer,accept,raw_acc,raw_macro_f1,accept_acc,accept_macro_f1,oracle_defer_cascade_acc,oracle_defer_cascade_macro_f1
round,0,0.52,762,497,265,0.7847769028871391,0.451432785503582,0.8415094339622642,0.45696721311475413,0.9448818897637795,0.9091208541572012
round,1,0.52,762,547,215,0.8044619422572179,0.5284085481090736,0.9069767441860465,0.475609756097561,0.973753280839895,0.9591100808139348
round,2,0.53,762,510,252,0.8202099737532809,0.6623771438181388,0.9166666666666666,0.4782608695652174,0.9724409448818898,0.9569601527723611
round,3,0.53,762,430,332,0.8608923884514436,0.7286069484577649,0.9246987951807228,0.7978321763488003,0.9671916010498688,0.9485083643499486
final_independent_calibration,3,0.52,762,253,509,0.8608923884514436,0.7286069484577649,0.9056974459724951,0.7592242194891201,0.937007874015748,0.8949931097841066
