seed,best_round,lambda_hat,defer_count,total,defer_pct,risk_accept_wrong,err_accept,teacher_train_calls,teacher_defer_calls,summary_path
1,3,0.76,253,762,33.202099737532805,0.06299212598425197,0.09430255402750491,530,5,experiments/runs/lrobench_formal/exp1_seed1/cgsd_summary.json
2,3,0.78,251,762,32.93963254593176,0.07480314960629922,0.11154598825831702,507,4,experiments/runs/lrobench_formal/exp1_seed2/cgsd_summary.json
3,3,0.53,436,762,57.21784776902887,0.023622047244094488,0.05521472392638037,550,81,experiments/runs/lrobench_formal/exp1_seed3/cgsd_summary.json
