mode,query_id,status,best_round,acc_raw,macro_F1,positive_F1,lambda_hat,defer_count,total,defer_pct,acc_final,risk_accept_wrong,err_accept,teacher_train_calls,teacher_defer_calls,summary_path,round1_summary_path,round0_summary_path
per_query_independent,select117,complete,1,0.9375,0.4838709677419355,0.0,0.59,53,80,66.25,0.9875,0.0125,0.037037037037037035,10,44,experiments/runs/lrobench_cross_query/per_query_independent/select117/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select117/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select117/round_0/round_summary.json
per_query_independent,select118,complete,1,0.8888888888888888,0.47058823529411764,0.0,1.01,27,27,100.0,1.0,0.0,0.0,7,20,experiments/runs/lrobench_cross_query/per_query_independent/select118/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select118/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select118/round_0/round_summary.json
per_query_independent,select119,complete,1,0.95,0.48717948717948717,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/per_query_independent/select119/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select119/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select119/round_0/round_summary.json
per_query_independent,select120,complete,1,0.775,0.525691699604743,0.8695652173913043,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/per_query_independent/select120/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select120/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select120/round_0/round_summary.json
per_query_independent,select121,complete,1,0.9,0.4736842105263158,0.0,1.01,20,20,100.0,1.0,0.0,0.0,5,15,experiments/runs/lrobench_cross_query/per_query_independent/select121/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select121/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select121/round_0/round_summary.json
per_query_independent,select122,complete,1,0.85,0.45945945945945943,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/per_query_independent/select122/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select122/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select122/round_0/round_summary.json
per_query_independent,select123,complete,1,0.8181818181818182,0.45,0.0,1.01,22,22,100.0,1.0,0.0,0.0,5,17,experiments/runs/lrobench_cross_query/per_query_independent/select123/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select123/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select123/round_0/round_summary.json
per_query_independent,select124,complete,1,0.8181818181818182,0.45,0.0,1.01,22,22,100.0,1.0,0.0,0.0,5,17,experiments/runs/lrobench_cross_query/per_query_independent/select124/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select124/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select124/round_0/round_summary.json
per_query_independent,select125,complete,1,0.85,0.45945945945945943,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/per_query_independent/select125/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select125/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select125/round_0/round_summary.json
per_query_independent,select126,complete,1,0.65,0.393939393939394,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/per_query_independent/select126/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select126/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select126/round_0/round_summary.json
per_query_independent,select127,complete,1,0.7368421052631579,0.4242424242424242,0.0,1.01,19,19,100.0,1.0,0.0,0.0,5,14,experiments/runs/lrobench_cross_query/per_query_independent/select127/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select127/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select127/round_0/round_summary.json
per_query_independent,select128,complete,1,0.5909090909090909,0.37142857142857144,0.0,1.01,44,44,100.0,1.0,0.0,0.0,10,34,experiments/runs/lrobench_cross_query/per_query_independent/select128/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select128/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select128/round_0/round_summary.json
per_query_independent,select129,complete,1,0.6888888888888889,0.40789473684210525,0.0,1.01,45,45,100.0,1.0,0.0,0.0,10,35,experiments/runs/lrobench_cross_query/per_query_independent/select129/cgsd_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select129/round_1/round_summary.json,experiments/runs/lrobench_cross_query/per_query_independent/select129/round_0/round_summary.json
cross_query_transfer,select115,complete,1,0.6785714285714286,0.4042553191489362,0.0,1.01,28,28,100.0,1.0,0.0,0.0,7,21,experiments/runs/lrobench_cross_query/cross_query_transfer/select115/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select115/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select115/round_0/round_summary.json
cross_query_transfer,select116,complete,1,0.8823529411764706,0.46875,0.0,1.01,34,34,100.0,1.0,0.0,0.0,9,25,experiments/runs/lrobench_cross_query/cross_query_transfer/select116/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select116/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select116/round_0/round_summary.json
cross_query_transfer,select117,complete,1,0.9375,0.4838709677419355,0.0,0.55,56,80,70.0,0.9875,0.0125,0.041666666666666664,10,47,experiments/runs/lrobench_cross_query/cross_query_transfer/select117/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select117/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select117/round_0/round_summary.json
cross_query_transfer,select118,complete,1,0.8888888888888888,0.47058823529411764,0.0,1.01,27,27,100.0,1.0,0.0,0.0,7,20,experiments/runs/lrobench_cross_query/cross_query_transfer/select118/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select118/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select118/round_0/round_summary.json
cross_query_transfer,select119,complete,1,0.95,0.48717948717948717,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/cross_query_transfer/select119/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select119/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select119/round_0/round_summary.json
cross_query_transfer,select120,complete,1,0.05,0.047619047619047616,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/cross_query_transfer/select120/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select120/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select120/round_0/round_summary.json
cross_query_transfer,select121,complete,1,0.9,0.4736842105263158,0.0,1.01,20,20,100.0,1.0,0.0,0.0,5,15,experiments/runs/lrobench_cross_query/cross_query_transfer/select121/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select121/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select121/round_0/round_summary.json
cross_query_transfer,select122,complete,1,0.85,0.45945945945945943,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/cross_query_transfer/select122/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select122/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select122/round_0/round_summary.json
cross_query_transfer,select123,complete,1,0.8181818181818182,0.45,0.0,1.01,22,22,100.0,1.0,0.0,0.0,5,17,experiments/runs/lrobench_cross_query/cross_query_transfer/select123/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select123/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select123/round_0/round_summary.json
cross_query_transfer,select124,complete,1,0.8181818181818182,0.45,0.0,1.01,22,22,100.0,1.0,0.0,0.0,5,17,experiments/runs/lrobench_cross_query/cross_query_transfer/select124/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select124/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select124/round_0/round_summary.json
cross_query_transfer,select125,complete,1,0.85,0.45945945945945943,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/cross_query_transfer/select125/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select125/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select125/round_0/round_summary.json
cross_query_transfer,select126,complete,1,0.65,0.393939393939394,0.0,1.01,40,40,100.0,1.0,0.0,0.0,10,30,experiments/runs/lrobench_cross_query/cross_query_transfer/select126/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select126/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select126/round_0/round_summary.json
cross_query_transfer,select127,complete,1,0.7368421052631579,0.4242424242424242,0.0,1.01,19,19,100.0,1.0,0.0,0.0,5,14,experiments/runs/lrobench_cross_query/cross_query_transfer/select127/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select127/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select127/round_0/round_summary.json
cross_query_transfer,select128,complete,1,0.5909090909090909,0.37142857142857144,0.0,1.01,44,44,100.0,1.0,0.0,0.0,10,34,experiments/runs/lrobench_cross_query/cross_query_transfer/select128/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select128/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select128/round_0/round_summary.json
cross_query_transfer,select129,complete,1,0.6888888888888889,0.40789473684210525,0.0,1.01,45,45,100.0,1.0,0.0,0.0,10,35,experiments/runs/lrobench_cross_query/cross_query_transfer/select129/cgsd_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select129/round_1/round_summary.json,experiments/runs/lrobench_cross_query/cross_query_transfer/select129/round_0/round_summary.json
